Part;Value;Device;Package;Description;MPN;SUPPLIER
C1;10uF;CAP0805;0805;Capacitor, 10V, X7R, 20%;LMK212AB7106MG-T;Taiyo Yuden
C2;10uF;CAP0805;0805;Capacitor, 10V, X7R, 20%;LMK212AB7106MG-T;Taiyo Yuden
C3;10nF;CAP0805;0805;Capacitor, 10V, X7R, 5%;VJ0805Y103JXQCW1BC;Vishay / Vitramon
C4;0.1uF;CAP0603-CAP;0603-CAP;Capacitor, 16V, X7R, 10%;VJ0603Y104KXJCW1BC;Vishay / Vitramon
C5;0.1uF;CAP0603-CAP;0603-CAP;Capacitor, 16V, X7R, 10%;VJ0603Y104KXJCW1BC;Vishay / Vitramon
C6;0.1uF;CAP0603-CAP;0603-CAP;Capacitor, 16V, X7R, 10%;VJ0603Y104KXJCW1BC;Vishay / Vitramon
C7;0.1uF;CAP0603-CAP;0603-CAP;Capacitor, 16V, X7R, 10%;VJ0603Y104KXJCW1BC;Vishay / Vitramon
C8;0.1uF;CAP0603-CAP;0603-CAP;Capacitor, 16V, X7R, 10%;VJ0603Y104KXJCW1BC;Vishay / Vitramon
D1;Green;LED0603;LED-0603;LEDs, Yellow-Green;VLMG1300-GS08;Vishay Semiconductors
JP1;M15;M15;1X15;Header 15;22-28-4151;Molex
JP2;M15;M15;1X15;Header 15;22-28-4151;Molex
JP3;AVR_SPI_PRG_6PTH;AVR_SPI_PRG_6PTH;2X3;Header AVR ISP 6 Pin;103328-3;TE Connectivity / AMP
R1;10K;RESISTOR0603;0603-RES;Resistor, 1%, 100mW;ERJ-3EKF1002V;Panasonic
R2;270R;RESISTOR0805-RES;805;Resistor, 5%, 125mW;ERJ-6GEYJ271V;Panasonic
R3;;RESISTOR0603-RES;0603-RES;Resistor (Optional);;
R4;;RESISTOR0603;0603-RES;Resistor (Optional);;
S1;RESET;SKHMPSE010;SKHMPXE010;6.2 X 6.5mm TACT Switch (SMD);FSM1LPATR;TE Connectivity / Alcoswitch
U1;SIP21106DT33E3;V_REG_LDOSMD;SOT23-5;3.3V Voltage Regulator LDO;SIP21106DT-33-E3;Vishay / Siliconix
U2;ATMEGA328P-AU;ATMEGA328P-AU;QFP80P900X900X120-32N;8-bit Microcontroller with In-System Programmable Flash;ATMEGA328P-AU;Atmel
XTAL;CSTCE16M0V53ZW-R0;CSTCE16M0V53ZW-R0;CSTCE_V;16MHz Ceramic ressonator with build-in capactors;CSTCE16M0V53ZW-R0;Murata Electronics
